series,t_seconds,rss_mb
bun-mimalloc,0.1,71.008
bun-mimalloc,0.2,71.008
bun-mimalloc,0.3,71.008
bun-mimalloc,0.4,71.008
bun-mimalloc,0.5,71.008
bun-mimalloc,0.6,71.008
bun-mimalloc,0.7,71.008
bun-mimalloc,0.8,71.008
bun-mimalloc,0.9,71.008
bun-mimalloc,1.0,71.008
bun-mimalloc,1.1,71.008
bun-mimalloc,1.2,71.008
bun-mimalloc,1.3,71.008
bun-mimalloc,1.4,71.008
bun-mimalloc,1.5,71.008
bun-mimalloc,1.6,71.008
bun-mimalloc,1.7,71.008
bun-mimalloc,1.8,71.008
bun-mimalloc,1.9,71.008
bun-mimalloc,2.0,71.008
bun-mimalloc,2.1,71.008
bun-mimalloc,2.2,71.008
bun-mimalloc,2.3,71.008
bun-mimalloc,2.4,71.008
bun-mimalloc,2.5,71.008
bun-mimalloc,2.6,71.008
bun-mimalloc,2.7,71.008
bun-mimalloc,2.8,71.008
bun-mimalloc,2.9,71.008
bun-mimalloc,3.0,71.008
bun-mimalloc,3.1,71.008
bun-mimalloc,3.2,71.008
bun-mimalloc,3.3,71.008
bun-mimalloc,3.4,71.008
bun-mimalloc,3.5,71.008
bun-mimalloc,3.6,71.008
bun-mimalloc,3.7,71.008
bun-mimalloc,3.8,71.008
bun-mimalloc,3.9,71.008
bun-mimalloc,4.0,71.008
bun-mimalloc,4.1,71.008
bun-mimalloc,4.2,71.008
bun-mimalloc,4.3,71.008
bun-mimalloc,4.4,71.008
bun-mimalloc,4.5,71.008
bun-mimalloc,4.6,71.008
bun-mimalloc,4.7,71.008
bun-mimalloc,4.8,71.008
bun-mimalloc,4.9,71.008
bun-mimalloc,5.0,71.008
bun-mimalloc,5.1,71.008
bun-mimalloc,5.2,71.008
bun-mimalloc,5.3,71.008
bun-mimalloc,5.4,71.008
bun-mimalloc,5.5,71.008
bun-mimalloc,5.6,71.008
bun-mimalloc,5.7,71.008
bun-mimalloc,5.8,71.008
bun-mimalloc,5.9,71.008
bun-mimalloc,6.0,71.008
bun-mimalloc,6.1,71.008
bun-mimalloc,6.2,71.008
bun-mimalloc,6.3,71.008
bun-mimalloc,6.4,71.008
bun-mimalloc,6.5,71.008
bun-mimalloc,6.6,71.008
bun-mimalloc,6.7,71.008
bun-mimalloc,6.8,71.008
bun-mimalloc,6.9,71.008
bun-mimalloc,7.0,71.008
bun-mimalloc,7.1,71.008
bun-mimalloc,7.2,71.008
bun-mimalloc,7.3,71.008
bun-mimalloc,7.4,71.008
bun-mimalloc,7.5,71.008
bun-mimalloc,7.6,71.008
bun-mimalloc,7.7,71.008
bun-mimalloc,7.8,71.008
bun-mimalloc,7.9,71.008
bun-mimalloc,8.0,71.008
bun-mimalloc,8.1,71.008
bun-mimalloc,8.2,71.008
bun-mimalloc,8.3,71.008
bun-mimalloc,8.4,71.008
bun-mimalloc,8.5,71.008
bun-mimalloc,8.6,71.008
bun-mimalloc,8.7,71.008
bun-mimalloc,8.8,71.008
bun-mimalloc,8.9,71.008
bun-mimalloc,9.0,71.008
bun-mimalloc,9.1,71.008
bun-mimalloc,9.2,71.008
bun-mimalloc,9.3,71.008
bun-mimalloc,9.4,71.008
bun-mimalloc,9.5,71.008
bun-mimalloc,9.6,71.008
bun-mimalloc,9.7,71.008
bun-mimalloc,9.8,71.008
bun-mimalloc,9.9,71.008
bun-mimalloc,10.0,71.008
upstream-mimalloc,0.0,277.914
upstream-mimalloc,0.1,277.977
upstream-mimalloc,0.2,277.977
upstream-mimalloc,0.3,277.977
upstream-mimalloc,0.4,277.977
upstream-mimalloc,0.5,277.977
upstream-mimalloc,0.6,277.977
upstream-mimalloc,0.7,277.977
upstream-mimalloc,0.8,277.977
upstream-mimalloc,0.9,277.977
upstream-mimalloc,1.0,277.977
upstream-mimalloc,1.1,277.977
upstream-mimalloc,1.2,277.977
upstream-mimalloc,1.3,277.977
upstream-mimalloc,1.4,277.977
upstream-mimalloc,1.5,277.977
upstream-mimalloc,1.6,277.977
upstream-mimalloc,1.7,277.977
upstream-mimalloc,1.8,277.977
upstream-mimalloc,1.9,277.977
upstream-mimalloc,2.0,277.977
upstream-mimalloc,2.1,277.977
upstream-mimalloc,2.2,277.977
upstream-mimalloc,2.3,277.977
upstream-mimalloc,2.4,277.977
upstream-mimalloc,2.5,277.977
upstream-mimalloc,2.6,277.977
upstream-mimalloc,2.7,277.977
upstream-mimalloc,2.8,277.977
upstream-mimalloc,2.9,277.977
upstream-mimalloc,3.0,277.977
upstream-mimalloc,3.1,277.977
upstream-mimalloc,3.2,277.977
upstream-mimalloc,3.3,277.977
upstream-mimalloc,3.4,277.977
upstream-mimalloc,3.5,277.977
upstream-mimalloc,3.6,277.977
upstream-mimalloc,3.7,277.977
upstream-mimalloc,3.8,277.977
upstream-mimalloc,3.9,277.977
upstream-mimalloc,4.0,277.977
upstream-mimalloc,4.1,277.977
upstream-mimalloc,4.2,277.977
upstream-mimalloc,4.3,277.977
upstream-mimalloc,4.4,277.977
upstream-mimalloc,4.5,277.977
upstream-mimalloc,4.6,277.977
upstream-mimalloc,4.7,277.977
upstream-mimalloc,4.8,277.977
upstream-mimalloc,4.9,277.977
upstream-mimalloc,5.0,277.977
upstream-mimalloc,5.1,277.977
upstream-mimalloc,5.2,277.977
upstream-mimalloc,5.3,277.977
upstream-mimalloc,5.4,277.977
upstream-mimalloc,5.5,277.977
upstream-mimalloc,5.6,277.977
upstream-mimalloc,5.7,277.977
upstream-mimalloc,5.8,277.977
upstream-mimalloc,5.9,277.977
upstream-mimalloc,6.0,277.977
upstream-mimalloc,6.1,277.977
upstream-mimalloc,6.2,277.977
upstream-mimalloc,6.3,277.977
upstream-mimalloc,6.4,277.977
upstream-mimalloc,6.5,277.977
upstream-mimalloc,6.6,277.977
upstream-mimalloc,6.7,277.977
upstream-mimalloc,6.8,277.977
upstream-mimalloc,6.9,277.977
upstream-mimalloc,7.0,277.977
upstream-mimalloc,7.1,277.977
upstream-mimalloc,7.2,277.977
upstream-mimalloc,7.3,277.977
upstream-mimalloc,7.4,277.977
upstream-mimalloc,7.5,277.977
upstream-mimalloc,7.6,277.977
upstream-mimalloc,7.7,277.977
upstream-mimalloc,7.8,277.977
upstream-mimalloc,7.9,277.977
upstream-mimalloc,8.0,277.977
upstream-mimalloc,8.1,277.977
upstream-mimalloc,8.2,277.977
upstream-mimalloc,8.3,277.977
upstream-mimalloc,8.4,277.977
upstream-mimalloc,8.5,277.977
upstream-mimalloc,8.6,277.977
upstream-mimalloc,8.7,277.977
upstream-mimalloc,8.8,277.977
upstream-mimalloc,8.9,277.977
upstream-mimalloc,9.0,277.977
upstream-mimalloc,9.1,277.977
upstream-mimalloc,9.2,277.977
upstream-mimalloc,9.3,277.977
upstream-mimalloc,9.4,277.977
upstream-mimalloc,9.5,277.977
upstream-mimalloc,9.6,277.977
upstream-mimalloc,9.7,277.977
upstream-mimalloc,9.8,277.977
upstream-mimalloc,9.9,277.977
upstream-mimalloc,10.0,277.977
